"","employee","salary2017","adjust2017","salary2018","raise"
"77","Employee 77",44743.6096565798,-3106.68590129353,41636.9237552863,FALSE
"78","Employee 78",45479.3568421155,7064.65190392919,52544.0087460447,TRUE
"79","Employee 79",48112.3855081387,2150.00391704962,50262.3894251883,TRUE
"80","Employee 80",43082.5871159323,4473.27005094849,47555.8571668807,TRUE
"81","Employee 81",49942.0617590658,8874.25516033545,58816.3169194013,TRUE
"82","Employee 82",46000.3778524697,7301.31841497496,53301.6962674446,TRUE
"83","Employee 83",45456.1127070338,208.684636745602,45664.7973437794,TRUE
"84","Employee 84",40696.4615965262,812.97144992277,41509.433046449,TRUE
"85","Employee 85",47166.4069429971,7229.88137509674,54396.2883180939,TRUE
"86","Employee 86",47965.6706633978,-1502.15773493983,46463.5129284579,FALSE
"87","Employee 87",40491.7984083295,6281.12696926109,46772.9253775906,TRUE
"88","Employee 88",47610.7491110452,6349.56017252989,53960.309283575,TRUE
"89","Employee 89",40872.6661582477,4834.97484587133,45707.6410041191,TRUE
"90","Employee 90",43650.9492783807,-1117.99891805276,42532.950360328,FALSE
"91","Employee 91",41013.4767042473,-682.432621251792,40331.0440829955,FALSE
"92","Employee 92",41849.9553506263,3823.83677759208,45673.7921282183,TRUE
"93","Employee 93",49058.9313977398,4682.0431179367,53740.9745156765,TRUE
"94","Employee 94",47880.2070906386,4763.88258859515,52644.0896792337,TRUE
"95","Employee 95",46426.5189832076,8538.2411046885,54964.7600878961,TRUE
"96","Employee 96",42714.8248883896,-3473.63014705479,39241.1947413348,FALSE
"97","Employee 97",49507.7097043395,3781.84346016496,53289.5531645045,TRUE
"98","Employee 98",44039.2733947374,6560.36304309964,50599.636437837,TRUE
"99","Employee 99",45667.7817064337,9291.9869045727,54959.7686110064,TRUE
"100","Employee 100",43082.352464553,8074.1038476117,51156.4563121647,TRUE
